gameID,homeTeam,awayTeam,winTeam,loseTeam,date
840,22,20,,,02/11/22
841,1,26,,,02/11/22
842,2,8,,,02/11/22
843,5,17,,,02/11/22
844,28,21,,,02/11/22
845,24,19,,,02/12/22
846,4,14,,,02/12/22
847,18,26,,,02/12/22
848,29,25,,,02/12/22
849,22,6,,,02/12/22
850,27,8,,,02/12/22
851,5,20,,,02/12/22
852,15,3,,,02/12/22
853,7,30,,,02/12/22
854,10,13,,,02/12/22
855,23,21,,,02/12/22
856,2,1,,,02/13/22
857,12,17,,,02/13/22
858,29,9,,,02/14/22
859,3,25,,,02/14/22
860,19,20,,,02/14/22
861,5,26,,,02/14/22
862,16,24,,,02/14/22
863,18,27,,,02/14/22
864,8,21,,,02/14/22
865,28,11,,,02/14/22
866,30,10,,,02/14/22
867,1,6,,,02/15/22
868,15,7,,,02/15/22
869,22,2,,,02/15/22
870,16,12,,,02/15/22
871,17,4,,,02/15/22
872,18,14,,,02/15/22
873,23,30,,,02/15/22
874,21,1,,,02/16/22
875,2,9,,,02/16/22
876,12,29,,,02/16/22
877,19,3,,,02/16/22
878,5,25,,,02/16/22
879,14,24,,,02/16/22
880,17,27,,,02/16/22
881,20,26,,,02/16/22
882,23,11,,,02/16/22
883,10,8,,,02/16/22
884,13,28,,,02/16/22
885,4,15,,,02/17/22
886,18,7,,,02/17/22
887,16,22,,,02/17/22
888,30,11,,,02/17/22
889,9,6,,,02/24/22
890,3,2,,,02/24/22
891,5,1,,,02/24/22
892,17,14,,,02/24/22
893,20,23,,,02/24/22
894,24,10,,,02/24/22
895,25,8,,,02/24/22
896,4,27,,,02/25/22
897,12,20,,,02/25/22
898,21,11,,,02/25/22
899,29,26,,,02/25/22
900,19,15,,,02/25/22
901,17,22,,,02/25/22
902,23,18,,,02/25/22
903,28,7,,,02/25/22
904,13,30,,,02/25/22
905,9,2,,,02/26/22
906,1,27,,,02/26/22
907,5,14,,,02/26/22
908,6,29,,,02/26/22
909,15,26,,,02/26/22
910,16,3,,,02/26/22
911,8,25,,,02/26/22
912,19,22,,,02/27/22
913,23,28,,,02/27/22
914,12,2,,,02/27/22
915,4,9,,,02/27/22
916,11,30,,,02/27/22
917,10,7,,,02/27/22
918,24,8,,,02/27/22
919,13,18,,,02/27/22
920,6,17,,,02/28/22
921,21,12,,,02/28/22
922,15,5,,,02/28/22
923,14,26,,,02/28/22
924,16,4,,,02/28/22
925,20,25,,,02/28/22
926,29,9,,,03/01/22
927,2,1,,,03/01/22
928,27,3,,,03/01/22
929,11,30,,,03/01/22
930,17,10,,,03/01/22
931,13,7,,,03/01/22
932,6,4,,,03/02/22
933,21,12,,,03/02/22
934,22,19,,,03/02/22
935,11,28,,,03/02/22
936,16,15,,,03/02/22
937,18,25,,,03/02/22
938,8,20,,,03/02/22
939,23,24,,,03/02/22
940,2,14,,,03/03/22
941,3,15,,,03/03/22
942,27,9,,,03/03/22
943,7,10,,,03/03/22
944,26,25,,,03/03/22
945,30,13,,,03/03/22
946,9,12,,,03/04/22
947,22,6,,,03/04/22
948,29,1,,,03/04/22
949,5,16,,,03/04/22
950,18,28,,,03/04/22
951,20,17,,,03/04/22
952,8,11,,,03/04/22
953,23,19,,,03/04/22
954,7,25,,,03/05/22
955,4,26,,,03/05/22
956,14,21,,,03/05/22
957,15,22,,,03/05/22
958,17,24,,,03/05/22
959,13,10,,,03/05/22
960,2,3,,,03/06/22
961,16,23,,,03/06/22
962,6,27,,,03/06/22
963,29,12,,,03/06/22
964,11,14,,,03/06/22
965,20,28,,,03/06/22
966,30,19,,,03/06/22
967,8,18,,,03/06/22
968,9,1,,,03/07/22
969,22,5,,,03/07/22
970,15,11,,,03/07/22
971,17,24,,,03/07/22
972,7,28,,,03/07/22
973,26,13,,,03/07/22
974,25,19,,,03/07/22
975,4,3,,,03/08/22
976,12,6,,,03/08/22
977,21,23,,,03/08/22
978,14,18,,,03/08/22
979,20,16,,,03/08/22
980,10,30,,,03/08/22
981,4,2,,,03/09/22
982,9,5,,,03/09/22
983,15,23,,,03/09/22
